gene_id	gene_name	A.TpM	B.TpM	A_vs_B.log2FC	A_vs_B.pvalue	A_vs_B.FDR
ENSDARG00000000002	ccdc80	3.89333333333333	4.42666666666667	0.235854645200855	0.301390215609049	0.773251768025569
ENSDARG00000000018	nrf1	29.4	20.9533333333333	-0.399391626196706	0.07313288022813	0.422886718143444
ENSDARG00000000019	ube2h	23.78	26.54	0.245403581979578	0.088734643496338	0.461101945492707
ENSDARG00000000068	slc9a3r1	9.15666666666667	10.4066666666667	0.277782966202103	0.104576929901424	0.496584682170045
ENSDARG00000000069	dap	36.7433333333333	41.52	0.267476696182665	0.176532353627519	0.614823431145937
ENSDARG00000000086	itsn1	14.4633333333333	15.16	0.153967876183639	0.27540975432071	0.745259845917879
ENSDARG00000000103	myh10	15.5566666666667	15.37	0.074859431578661	0.620094038578688	1
ENSDARG00000000142	C10H5orf28	6.79	6.44333333333333	0.011076461798883	0.948574197377952	1
ENSDARG00000000151	thraa	2.15666666666667	1.67666666666667	-0.284503016850189	0.184677051607052	0.626997087334452
ENSDARG00000000161	itsn2a	0.723333333333333	0.743333333333333	0.127686924341645	0.682231694133892	1
ENSDARG00000000175	hoxb2a	8.94	7.28	-0.210891632841686	0.204980328126399	0.65839722741719
ENSDARG00000000183	ptpn4b	6.12	5.51333333333333	-0.017700460373759	0.9326956739021	1
ENSDARG00000000189	sema6e	2.44333333333333	1.84333333333333	-0.30108379901798	0.188426284148596	0.633464578235803
ENSDARG00000000212	krt97	119.223333333333	162.263333333333	0.322346985714101	0.35648364059225	0.831838694456431
ENSDARG00000000229	usp49	8.13333333333333	5.29666666666667	-0.475648260987317	0.084051602355131	0.451322100860538
ENSDARG00000000241	slc40a1	33.1466666666667	22.0533333333333	-0.496406620261716	0.005527718517689	0.112919340367444
ENSDARG00000000324	dcaf8	5.08333333333333	4.5	-0.050737098696747	0.817042263958261	1
ENSDARG00000000349	C21H11orf70	0.816666666666667	0.98	0.343499781036257	0.266510424132831	0.734662639778263
ENSDARG00000000369	prkag3b	7.28	7.90666666666667	0.199156759057617	0.293422347968221	0.764270132254545
ENSDARG00000000370	triob	8.33666666666667	6.89666666666667	-0.105195798787048	0.587423034541835	0.991396999525905
ENSDARG00000000380	pde6a	0.553333333333333	0.806666666666667	0.613413668091059	0.042330986866475	0.324690495842152
ENSDARG00000000394	matr3l1.1	35.5333333333333	39.23	0.22912937221918	0.094324066756429	0.474396536092905
ENSDARG00000000423	si:ch73-314g15.3	2.83	2.69666666666667	0.011284165354962	0.966977861654659	1
ENSDARG00000000442	slc39a13	17.3433333333333	23.41	0.515168160644501	0.005041874979589	0.106619251311409
ENSDARG00000000460	nitr2b	0.023333333333333	0.023333333333333	-0.105762814892711	0.927853603684378	1
ENSDARG00000000472	cntn2	8.93	6.57666666666667	-0.356612511030158	0.021494792137239	0.230719462485558
ENSDARG00000000474	tnni1a	0.04	0.016666666666667	-0.51440051113842	0.930226611802717	1
ENSDARG00000000476	pms1	3.96666666666667	3.85	0.058402763933064	0.779995805391469	1
ENSDARG00000000489	upf3b	25.4433333333333	27.3366666666667	0.174847899191902	0.342094659047382	0.815885990805673
ENSDARG00000000503	stx1b	7.57333333333333	6.48333333333333	-0.141562948159771	0.476736614511804	0.914203098877845
ENSDARG00000000516	ankar	0.213333333333333	0.236666666666667	0.266428670998738	0.484006017065493	0.92104388191444
ENSDARG00000000529	ofd1	5.24	3.78	-0.375061550909467	0.040543656859175	0.318865482648561
